"Descripción del contrato","Entidad ","Contratista","Nomenclatura del proceso","Número del contrato","Objeto ","Moneda ","Monto ","Presupuesto ","CCP ","Previsión Presupuestal ","Fecha de suscripción del contrato","Fecha de inicio del contrato","Fecha fin del contrato","Estado"
"SUMINISTRO DE VÍVERES PANTBC PARA EL PROGRAMA DE COMPLEMENTACIÓN ALIMENTARIA DEL CERCADO DE LIMA DE LA SUBGERENCIA DE PROGRAMAS ALIMENTARIOS DE LA GERENCIA DE DESARROLLO SOCIAL DE LA MUNICIPALIDAD METROPOLITANA DE LIMA, SUBASTA INVERSA ELECTRÓNICA","20131380951-MUNICIPALIDAD METROPOLITANA DE LIMA","20602793291-INVERSIONES CQS E.I.R.L.","SIE-SIE-7-2021-MML-GA-SLC-2","016-2022","BIEN","S/","749400","749400","749400","859750","21/01/2022","24/01/2022","15/02/2023","Publicado"
"SERVICIO DE ALQUILER DE PANTALLA GIGANTE, GRUPO ELECTRÓGENO Y EQUIPO DE SONIDO PARA LA GERENCIA DE COMUNICACIÓN SOCIAL Y RELACIONES PUBLICAS","20131380951-MUNICIPALIDAD METROPOLITANA DE LIMA","20421117919-DATA VISION S.A.","AS-SM-115-2021-MML-GA-SLC-1","CONTRATO N° 010-2022-MML-GA/SLC","SERVICIO","S/","195000","195000","195000","238733","12/01/2022","13/01/2022","31/01/2023","Publicado"
"EJECUCION DE LA OBRA REPARACION DE EDIFICACION EN EL (LA) MONUMENTO HISTORICO DE LA IGLESIA Y CONVENTO DE SANTO DOMINGO EN LA LOCALIDAD DE LIMA, DISTRITO DE LIMA, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA","20131380951-MUNICIPALIDAD METROPOLITANA DE LIMA","20524570506-CONSORCIO VICTORIA","AS-SM-118-2021-MML-GA-SLC-1","Contrato N° 024-2022-MML-GA-SLC","OBRA","S/","5958787.53","5958787.53","5958787.53","6080395.43","02/02/2022","03/02/2022","03/11/2022","Publicado"
"SERVICIO DE ALQUILER DE ESTRUCTURAS METÁLICAS PARA LA ACTIVIDAD SERENATA POR EL 487 ANIVERSARIO DE LIMA","20131380951-MUNICIPALIDAD METROPOLITANA DE LIMA","20607486604-PRODUCCIONES GOLD S.A.C.","AS-SM-110-2021-MML-GA-SLC-2","007-2022-MML-GA-SLC","SERVICIO","S/","130950","261900","261900","418360","11/01/2022","15/01/2022","17/01/2022","Publicado"
"contrato","20131378620-MUNICIPALIDAD DISTRITAL DE ATE - VITARTE","20517099857-THE MOON CONTRATISTAS GENERALES SAC","AS-SM-23-2021-CS-O/MDA-1","04-2022","OBRA","S/","792131.64","792131.64","792131.64"," ","27/01/2022","07/02/2022","24/03/2022","Publicado"
"contrato","20131378620-MUNICIPALIDAD DISTRITAL DE ATE - VITARTE","10413159976-CABRERA CISNEROS SANTOS ALBERTO","AS-SM-45-2021-CS/MDA-1","005","BIEN","S/","372500","375000","375000"," ","01/02/2022","02/02/2022","03/02/2022","Publicado"
"contrato","20131378620-MUNICIPALIDAD DISTRITAL DE ATE - VITARTE","10413159976-CABRERA CISNEROS SANTOS ALBERTO","AS-SM-46-2021-CS/MDA-1","006","BIEN","S/","341475","345400","345400"," ","01/02/2022","02/02/2022","03/02/2022","Publicado"
"MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL EN EL JIRON OCROS Y AVENIDA TUPAC AMARU DEL DISTRITO DE EL AGUSTINO, PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA, CUI N° 2533210","20131377909-MUNICIPALIDAD DISTRITAL DE EL AGUSTINO","20494686369-CONSTRUCTORA E INMOBILIARIA ENMANUEL & LUCIANO SOCIEDAD ANONIMA CERRADA","AS-SM-23-2021-MDEA/CS-1","001-2022-MDEA","OBRA","S/","1598972.4","1598972.4","1598972.4"," ","18/01/2022","10/02/2022","11/05/2022","Publicado"
"CONTRATO","20131365722-MUNICIPALIDAD DISTRITAL DE LA MOLINA","20607422916-J C R CONTRATISTAS Y SUMINISTROS E.I.R.L.","AS-SM-12-2021-MDLM-1","001","BIEN","S/","226790","226790","226790"," ","04/01/2022","05/01/2022","07/01/2022","Publicado"
"ORDEN DE COMPRA","20131365722-MUNICIPALIDAD DISTRITAL DE LA MOLINA","20604676488-INFORLAND PERU S.A.C.","COMPRE-SM-5-2021-MDLM-1","01-2021","BIEN","S/","61684.5","61684.5","61684.5"," ","17/01/2022","18/01/2022","22/01/2022","Publicado"
"adquisicion de pinturas y otros","20131365722-MUNICIPALIDAD DISTRITAL DE LA MOLINA","20605220631-MULTISERVIS ALTSA E.I.R.L.","COMPRE-SM-1-2022-MDLM-1","14","BIEN","S/","47596","47596","47596"," ","07/02/2022","07/02/2022","09/02/2022","Publicado"
"SERVICIO DE MENSAJERÍA COURIER FUERA Y DENTRO DEL DISTRITO DE LA VICTORIA","20131368071-MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA","20601701503-P & M COURIER EXPRESS S.A.C.","CP-SM-6-2021-CS/MLV-1","003-2022-MLV","SERVICIO","S/","166800","166800","166800"," ","13/01/2022","14/01/2022","13/01/2023","Publicado"
"ADQUISICION DEK ITS ANTIMOTINES ","20131368071-MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA","20607093017-CORPORACION INDUSTRIAL MANDALA S.A.C.","AS-SM-5-2021-CS/MLV-1","35","BIEN","S/","124600","124600","124600"," ","25/01/2022","26/01/2022","27/02/2022","Publicado"
"ADQUISICIÓN DE ADOQUINES DE CONCRETO PARA LA OBRA MEJORAMIENTO DEL PARQUE LA POLVORA (INDUAMERICA), DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA CON C.U.I 2523101","20131368071-MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA","20520823078-JADVEYA SERVICIOS GENERALES S.A.C","SIE-SIE-2-2021-CS/MLV-1","001-2022-MLV","BIEN","S/","61000","61000","61000","76235","06/01/2022","07/01/2022","31/01/2022","Publicado"
"ADQUISICION DE BOLSAS BIODEGRADABLES PARA EL SERVICIO DE BARRIDO MANUAL DE CALLES Y DE RESIDUOS SOLIDOS ALMACENADOS EN LAS PAPELERAS INSTALADAS EN EL DISTRITO DE LA VICTORIA","20131368071-MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA","20344377180-R & H PLASTICOS S.A.C.","AS-SM-9-2021-CS/MLV-1","002-2022-MLV","BIEN","S/","302998","302998","302998"," ","13/01/2022","19/01/2022","28/02/2022","Publicado"
"07-2022","20131368071-MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA","20501842347-INDUSTRIAS MIXTAS DE APOYO LOGISTICO SOCIEDAD ANONIMA -  INDUSTRIAS MIXTAS DE APOYO LOGISTICO S.A.","AS-SM-10-2021-CS/MLV-1","07-2022","BIEN","S/","364218","364218","364218"," ","11/02/2022","12/02/2022","12/03/2022","Publicado"
"Ejecución de saldo de obra: Reparación de Armado de Alumbrado Público; Construcción de Infraestructura Deportiva; en el(la) Municipalidad Distrital de Lince - Cancha del Parque Castilla en La Localidad Lince, Distrito de Lince, Provincia Lima, Departamento Lima - C.U. N° 2495583","20131367857-MUNICIPALIDAD DISTRITAL DE LINCE","20516615088-OXIGAS CONTRATISTAS GENERALES S.R.L.","AS-SM-17-2020-MDL-CS-1","003-2020-MDL-GAF","OBRA","S/","931211.42","931211.42","931211.42","917184.98","11/01/2022","03/02/2022","04/04/2022","Publicado"
"Servicio de consultoría de obra para la supervisión de la obra: ""Mejoramiento y Ampliación de los Servicios del Centro Integral de Atención al Adulto Mayor Lince del Distrito de Lince - Provincia de Lima - Departamento de Lima"" con C.U.I. N° 2505881","20131367857-MUNICIPALIDAD DISTRITAL DE LINCE","20495807461-CONSORCIO ARHEN","AS-SM-19-2021-MDL-CS-1","CONTRATO N° 001-2022-MDL-GAF","CONSULTORIA","S/","191961.57","191961.57","191961.57","213290.63","07/01/2022","10/01/2022","05/11/2022","Publicado"
"Contratación para la Ejecución de Obra: ¿Adquisición de mobiliario urbano; reparación de vereda; en el (la) calles Mariscal Las Heras e Ignacio Merino de la Municipalidad Distrital de Lince en la localidad Lince, Distrito de Lince, Provincia Lima, Departamento Lima¿ con C.U.I. N° 2513819","20131367857-MUNICIPALIDAD DISTRITAL DE LINCE","20407836872-&#39;CONSTRUCTORA ANAID&#39; E.I.R.L.","AS-SM-20-2021-MDL-CS-1","CONTRATO N° 004-2022-MDL-GAF","OBRA","S/","470699.3","470699.3","470699.3","470699.3","10/01/2022","25/01/2022","26/03/2022","Publicado"
"SERVICIO DE IMPRESION Y DISTRIBUCION DE CUPONERA TRIBUTARIA 2022","20131367857-MUNICIPALIDAD DISTRITAL DE LINCE","20556325881-LOGISTICA ESPECIALIZADA LOGISTIC PARTNER S.A.C.","AS-SM-21-2021-MDL-CS-1","0002-2022-MDL-GAF","SERVICIO","S/","129980","129980","129980","174900","07/01/2022","08/01/2022","20/02/2022","Publicado"
"CONTRATACION DEL SEGURO PATRIMONIAL MULTIRIESGO Y SEGURO 3D (DESHONESTIDAD, DESAPARACION Y DESTRUCCION) PARA LA MUNICIPIO DISTRITAL DE LOS OLIVOS","20131368667-MUNICIPALIDAD DISTRITAL DE LOS OLIVOS (LAS PALMERAS)","20202380621-MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A.","AS-SM-16-2021-MDLO/CS-1","001-2022-MDLO-SGLYP","SERVICIO","S/","175712.52","175712.52","175712.52"," ","20/01/2022","21/01/2022","20/01/2023","Publicado"
"EJECUCIÓN DE LA OBRA: ¿RENOVACIÓN DE CERCO PERIMÉTRICO; EN EL (LA) HUACA HUANTILLE EN LA LOCALIDAD DE MAGDALENA DEL MAR, DISTRITO DE MAGDALENA DEL MAR, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA¿ CUI 2467543","20131376848-MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR","20514319368-CONSORCIO SUR","AS-SM-20-2021-MDMM-CS-1-2","N° 002-2022-GAF-MDMM","OBRA","S/","304965.63","609931.26","609931.26","474390.96","11/01/2022","12/01/2022","12/04/2022","Publicado"
"servicio de mensajeria courier para distribucion de cuponeras tributarias ejercicio 2022","20131376848-MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR","20556325881-LOGISTICA ESPECIALIZADA LOGISTIC PARTNER S.A.C.","AS-SM-24-2021-CS-MDMM-1","orden de servicio Nº001","SERVICIO","S/","32000","32000","32000","54028.5","07/01/2022","07/01/2022","31/01/2022","Publicado"
"SERVICIO DE SEGURO TODO RIESGO PARA LOS VEHICULOS DE LA MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR","20131376848-MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR","20202380621-MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A.","AS-SM-25-2021-CS-MDMM-1"," Orden de Servicio Nº588","SERVICIO","S/","95390.74","95390.74","95390.74"," ","08/02/2022","08/02/2022","28/02/2023","Publicado"
"servicio de ALQUILER DE LOCAL PARA LA CASA DEL ADULTO MAYOR Y OFICINAS ADMINISTRATIVAS","20131376848-MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR","10078856926-MENDEZ VIZCARRA NARDA JEANNETTE","DIRECTA-PROC-1-2021-MDMM-1","003-2022-GAF-MDMM","SERVICIO","S/","256000","256000","240000","272000","02/02/2022","03/02/2022","28/02/2023","Publicado"
"ADQUISICIÓN DE EQUIPOS DE PROTECCIÓN PERSONAL","20131372427-MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES","20549558713-COMERCIAL HAMMER S.A.C.","AS-SM-9-2021-CS/MDSMP-1","3-2022","BIEN","S/","44974","44974","44974"," ","31/01/2022","01/02/2022","31/03/2022","Publicado"
"REPARACIÓN DE PISTA, SARDINEL Y ÁREA VERDE, CONSTRUCCIÓN DE VEREDA EN EL (LA) AV. FRANCISCO ALAYZA Y PAZ SOLDAN Y JR. JUAN LUIS HAGUE DE LA URB. CONDEVILLA SEÑOR Y VALDIVIEZO ETAPA I ZONA 2, 3 Y 4 DEL DISTRITO DE SAN MARTÍN DE PORRES, PROVINCIA DE LIMA, DEPARTAMENTO DE LIMA","20131372427-MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES","20507687084-DESARROLLO INNOVACION Y TECNOLOGIA DE SERVICIOS S.A.C","LP-SM-5-2021-MDSMP-1","01-2022","OBRA","S/","1875130.19","3750260.38","3750260.38","2592147.08","11/01/2022","12/01/2022","25/05/2022","Publicado"
" SERVICIO DE IMPRESIÓN, ARMADO Y EMBOLSADO DE CARPETAS DE TRIBUTOS MUNICIPALES 2022","20131372427-MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES","20520816705-GRÁFICA CADISAN S.A.C","AS-SM-38-2021-CS-MDSMP-1","02-2022","SERVICIO","S/","289500","289500","289500"," ","17/01/2022","18/01/2022","24/02/2022","Publicado"
"OBRA VILLA MERCEDES","20131367423-MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO","20508274298-CONSORCIO LAS MERCEDES","LP-SM-7-2021-CS-MSS-1","02-2022-GAF-MSS","OBRA","S/","2904236.29","2904236.29","2904236.29"," ","25/01/2022","25/01/2022","25/05/2022","Publicado"
"OBRA PLAZA DE ARMAS","20131367423-MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO","20508274298-CONSORCIO KRISTEL","LP-SM-8-2021-CS-MSS-1","03-2022-GAF-MSS","OBRA","S/","2191760.15","2191760.15","2191760.15"," ","25/01/2022","25/01/2022","25/04/2022","Publicado"
"SERVICIO DE INSTALACION Y EQUIPAMIENTO DE LA PISCINA MUNICIPAL DE VILLA EL SALVADOR","20187346488-MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR","20604963908-JETHRO TOOLS E.I.R.L.","AS-SM-19-2021-CS/MVES-1","CONTRATO N°01-2022-UA-OGA/MVES","SERVICIO","S/","139449","139449","139449","9967.67","09/02/2022","13/02/2022","31/03/2022","Publicado"
"CONTRATACION DE LA EJECUCION DE LA OBRA: MAJORAMIENTO Y AMPLIACION DE LOS SERVICIOS EDUCATIVOS EN LA INSTITUCION EDUCATIVA INICIAL PILAR NORES DE GARCIA - AAHH MIGUEL GRAU DEL DISTRITO DE CHANCAY - PROVINCIA DE HUARAL LIMA. II ETAPA","20163051118-MUNICIPALIDAD DISTRITAL DE CHANCAY - HUARAL","20601102456-CONSORCIO INNEXA PERU","AS-SM-10-2021-MDCH/CS-2","08-2021-MDCH","OBRA","S/","518839.66","518839.66","518839.66"," ","05/01/2022","24/01/2022","15/07/2022","Publicado"
"ADQUISICIÒN DE VIVERES FRESCOS Y SECOS PÀRA ABASTECER COMEDORES POPULARES (11 COMEDORES PCA y 19 COMEDORES AUTOGESTIONARIOS) PARA EL PERIODO 2022 DEL DISTRITO DE CHANCAY - HUARAL - LIMA","20163051118-MUNICIPALIDAD DISTRITAL DE CHANCAY - HUARAL","20605429841-COMERCIO ALIMENTARIO S.A.C.","AS-SM-14-2021-MDCH/OEC-1","001-2022-MDCHANCAY","BIEN","S/","80534.8","80534.8","80534.8"," ","02/02/2022","03/02/2022","31/01/2023","Publicado"
"ADQUSICION DE COMBUSTIBLE DIESEL B5 S50 PARA LAS UNIDADES VEHICULARS DEL MDA PERIODO 2022","20188930027-MUNICIPALIDAD DISTRITAL DE AUCALLAMA","20603563060-CORPORACION HUAURA S.A.C.","SIE-SIE-2-2021-MDA/OEC-1-1","005-2022-MDA/BIENES","BIEN","S/","677550","677550","621090","56460","31/01/2022","31/01/2022","31/01/2023","Publicado"
"COMPRA DE UNA RETROEXCAVADORA","20298977436-MUNICIPALIDAD DISTRITAL DE SAN DAMIAN","20101639275-IPESA S.A.C.","LP-SM-1-2021-CS/MDSD-1","S/N","BIEN","S/","520000","520000","520000"," ","24/01/2022","24/01/2022","03/02/2022","Publicado"
"CONTRATO PARA LA EJECUCION DE LA OBRA: MEJORAMIENTO A NIVEL DE TRATAMIENTO SUPERFICIAL BICAPA DE LA CARRETERA VECINAL PE-24 PUENTE TINGO - HUANTAN CON UNA LONGITUD DE 09+240 KM DISTRITO DE HUANTAN -PROVINCIA YAUYOS - DEPARTAMENTO LIMA ","20202313435-MUNICIPALIDAD DISTRITAL DE HUANTAN","20568736355-CONTINENTAL ENGINEERING AND MACHINERY SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","AS-SM-3-2021-MDH/CS-1","001-2022","OBRA","S/","1371714","1371714","1371714"," ","31/01/2022","09/02/2022","11/04/2022","Publicado"
"CONTRATACION DE SERVICIO DE SEGURO CONTRA ACCIDENTES DE ESTUDIANTES","20147897406-UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","20202380621-MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A.","CP-SM-1-2021-UNALM-1","001-2022-UNALM","SERVICIO","S/","1526087.71","1526087.71","763043.85","763043.86","20/01/2022","17/02/2022","29/02/2024","Publicado"
"Adquisición de una herramienta de gestión de proyectos para la sunarp","20267073580-SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PUBLICOS","20552304552-UNIVERSAL BUSINESS SOLUTIONS & SERVICES S.A.C.","AS-SM-11-2021-SUNARP-1","N° 001-2022-SUNARP Y N° 002-2022-SUNARP","BIEN","S/","389640","389640","369265","20375","14/01/2022","15/01/2022","24/02/2023","Publicado"
"CONTRATACIÓN DEL SERVICIO DE INTERCONEXIÓN DE SEDES LIMA","20376082114-ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA","20100017491-TELEFONICA DEL PERU SAA","CP-SM-27-2021-OSINERGMIN-1","2-2022","SERVICIO","S/","1941808","1941808","399624.12","1542183.88","14/01/2022","15/01/2022","13/01/2025","Publicado"
"CONTRATACIÓN DEL SERVICIO DE INTERCONEXIÓN DE SEDES LIMA item 2","20376082114-ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA","20100017491-TELEFONICA DEL PERU SAA","CP-SM-27-2021-OSINERGMIN-1","3-202","SERVICIO","S/","495009.74","495009.74","101873.03","393136.71","14/01/2022","15/01/2022","13/01/2025","Publicado"
"CONTRATACIÓN DEL SERVICIO DE CONSULTORIA PARA EL ESTUDIO DE LOS SERVICIOS COMPLEMENTARIOS EN EL SEIN","20376082114-ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA","20600111109-EMPRESAS Y NEGOCIOS LF CONSULTING E.I.R.L. - EMNELFCO E.I.R.L.","AS-SM-42-2021-OSINERGMIN-1"," LSE 004 2022","SERVICIO","S/","266000","266000","266000","353479.31","25/01/2022","26/01/2022","25/07/2022","Publicado"
"CONTRATACION DEL SERVICIO PARA LA APLICACION DE PROCESOS TECNICOS ARCHIVISTICO AL ACERVO DOCUMENTAL DEL ARCHIVO CENTRAL DEL OSINERGMIN","20376082114-ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA","20515780662-VIRYCOR ASOCIADOS SOCIEDAD ANONIMA CERRADA","CP-SM-34-2021-OSINERGMIN-1","008-2022","SERVICIO","S/","2399020","8736220","4696291.67","4039928.33","03/02/2022","04/02/2022","24/01/2024","Publicado"
"CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA PARA FIJAR EL FACTOR DE RECARGO Y PROGRAMA DE TRANSFERENCIAS DEL FOSE AÑOS 2022-2023","20376082114-ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA","20602753761-CONSULTORAS EN ENERGIA","AS-SM-43-2021-OSINERGMIN-1"," LSE 001-2022","SERVICIO","S/","285000","285000","106875","340947.62","07/01/2022","07/01/2022","05/01/2024","Publicado"
"CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA DE REVISIÓN DE COSTOS OPERATIVOS DEL FISE DE LAS EEDD VINCULADOS CON EL DESCUENTO EN LA COMPRA DEL BALÓN DE GAS 2022-2023","20376082114-ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA","20360794874-RENERGIA SA","AS-SM-45-2021-OSINERGMIN-1","LSE 05-2022","SERVICIO","S/","318000","318000","139920","200861.86","26/01/2022","27/01/2022","17/01/2024","Publicado"
"CONTRATACIÓN DEL SERVICIO DE TOMA DE INVENTARIOS FÍSICO Y CONCILIACIÓN CONTABLE DE BIENES MUEBLES DEL OSINERGMIN","20376082114-ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA","20548817464-LATINO INGENIEROS SOCIEDAD ANONIMA CERRADA - LATINO INGENIEROS  S.A.C.","AS-SM-47-2021-OSINERGMIN-1","006-2022","SERVICIO","S/","160800","160800","160800"," ","31/01/2022","01/02/2022","01/04/2022","Publicado"
"CONTRATACIÓN DEL SERVICIO PARA LA ACTUALIZACION DEL MANUAL DE LA CONTABILIDAD REGULATORIA - 2DA CONV","20376082114-ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA","20501666786-CONSULTORES SUPERVISORES Y ASESORES NACIONALES S.A.C.","AS-SM-38-2021-OSINERGMIN-2","LSE 10-2022","SERVICIO","S/","189000","189000","173880","15120","09/02/2022","10/02/2022","05/01/2023","Publicado"
"CONTRATACION DEL SERVICIO DE MONITOREO PARA LA DETECCIÓN DE DESCARGAS ATMOSFÉRICAS EN EL SEIN","20376082114-ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA","20604173699-MOR REPRESENTACIONES SOCIEDAD ANONIMA CERRADA","AS-SM-57-2021-OSINERGMIN-1","007-2022","SERVICIO","S/","397660","398722","247207","151515","02/02/2022","03/02/2022","17/02/2023","Publicado"
"CONTRATO","20260998898-ZONA REGISTRAL N° IX SEDE LIMA - UNIDAD EJECUTORA Nº 002-SUNARP Sede Lima","20100904315-SEGUROC SOCIEDAD ANONIMA","CP-SM-5-2021-ZRLIMA-1","03-2022","SERVICIO","S/","21624553.48","21624553.48","6607502.45","22225235.51","07/01/2022","09/01/2022","08/01/2025","Publicado"
"SERVICIO DE MANTENIMIENTO A LOS SISTEMAS DE ILUMINACIÓN DE LAS OFICINAS DE LA ZONA REGISTRAL IX-SEDE LIMA","20260998898-ZONA REGISTRAL N° IX SEDE LIMA - UNIDAD EJECUTORA Nº 002-SUNARP Sede Lima","20603151934-LUITI MAQUINARIAS S.A.C.","AS-SM-21-2021-ZRLIMA-1","01-2022","SERVICIO","S/","124500","124500","124500","124500","05/01/2022","06/01/2022","26/01/2022","Publicado"
"SERVICIO MANTENIMIENTO PREVENTIVO DE SUBESTACIÓN ENERGÍA ELÉCTRICA DE ZR IX-SEDE LIMA","20260998898-ZONA REGISTRAL N° IX SEDE LIMA - UNIDAD EJECUTORA Nº 002-SUNARP Sede Lima","20523268938-INFRAESTRUCTURAS ELECTRICAS SOCIEDAD ANONIMA CERRADA","AS-SM-24-2021-ZRLIMA-1","02-2022-SUNARP-ZR N° IX/AS","SERVICIO","S/","59030.21","59030.21","29515.11","83495.85","07/01/2022","08/01/2022","06/02/2023","Publicado"
"CONTRATACIÓN DEL SERVICIO DE LIMPIEZA INTEGRAL Y MANTENIMIENTO DE LA ACADEMIA DE LA MAGISTRATURA","20290898685-ACADEMIA DE LA MAGISTRATURA","20602781659-GRUPO DILCORPS SERVICIOS INTEGRALES DE LIMPIEZA S.A.C.","AS-SM-4-2021-AMAG-1","02-2022-AMAG-LOG","SERVICIO","S/","276360.36","276360.36","207270.27","397479.73","25/01/2022","26/01/2022","25/01/2023","Publicado"
"SERVICIO DE TOMA DE INVENTARIO FISICO, VALORIZACIÓN, PROCESAMIENTO Y CONCILIACIÓN DE BIENES MUEBLES E INMUEBLES PATRIMONIALES DEL CENFOTUR AL 31.12.2021","20131372001-CENTRO DE FORMACION EN TURISMO","20544419839-INVENTARIOS VALUACIONES Y SERVICIOS GENERALES S.A.C. - IVASERG S.A.C.","AS-SM-4-2021-CENFOTUR-1","001-2022-CENFOTUR","SERVICIO","S/","73500","73500","73500","86220","19/01/2022","20/01/2022","20/03/2022","Publicado"
"CONTRATO","20131367008-INSTITUTO GEOFISICO DEL PERU","20106696269-ELECTRONICA INDUSTRIAL Y SERVICIOS SOCIEDAD ANONIMA CERRADA","AS-SM-11-2021-IGP-1","01-2022","BIEN","S/","325208","325208","310340","48502","13/01/2022","14/01/2022","22/03/2022","Publicado"
" SERVICIO DE ALQUILER DE EQUIPOS AUDIOVISUALES PARA LA ACTIVIDAD SERENATA POR EL 487 ANIVERSARIO DE LIMA","20131380951-MUNICIPALIDAD METROPOLITANA DE LIMA","20293090786-MELVI S.A.C","AS-SM-107-2021-MML-GA-SLC-2","009-2022-MML-GA/SLC","SERVICIO","S/","94900","170620","170620","207212","14/01/2022","15/01/2022","18/01/2022","Publicado"
"SERVICIO DE ALQUILER DE EQUIPOS DE SONIDO E ILUMINACION PARA LA ACTIVIDAD ""SERENATA POR EL 487 ANIVERSARIO DE LIMA""","20131380951-MUNICIPALIDAD METROPOLITANA DE LIMA","20468068088-RED POWER S.A.C.","AS-SM-109-2021-MML-GA-SLC-2","011-2022-MML-GA-SLC","SERVICIO","S/","218692","218692.56","218692.56","218692.56","12/01/2022","13/01/2022","21/01/2022","Publicado"
"¿SERVICIO DE MANTENIMIENTO DE LA QUEBRADA HUASCATA CON LA PROTECCION DE DIQUES EN LAS ZONAS DE RIESGO POR HUAYCO EN EL ASENTAMIENTO HUMANO HUASCATA, DISTRITO DE CHACLACAYO, LIMA, LIMA","20131380951-MUNICIPALIDAD METROPOLITANA DE LIMA","20604370877-CONSORCIO GREEN","AS-SM-120-2021-MML-GA-SLC-1","CONTRATO 23-2022-MML-GA/SLC","SERVICIO","S/","577958.65","577958.65","577958.65","620322.77","28/01/2022","05/02/2022","06/04/2022","Publicado"
" ADQUISICION DE GEOMALLA BIAXIAL PARA LOS ACANTILADOS DE LA COSTA VERDE PARA LA SUBGERENCIA DE ESTIMACION, PREVENCION, REDUCCION Y RECONSTRUCCION","20131380951-MUNICIPALIDAD METROPOLITANA DE LIMA","20125309276-ANDEX DEL NORTE S A","COMPRE-SM-5-2021-MML-GA-SLC-1","0035-2022-MML-GA-SLC","BIEN","S/","45147.52","45147.52","45147.52","45147.52","19/01/2022","20/01/2022","25/01/2022","Publicado"
"SERVICIO DE FABRICACIÓN E INSTALACIÓN DE PUERTAS Y VENTANAS, PARA LA CASA DE ROSA MERCEDES AYARZA DE MORALES ¿ SEDE DE LA CASA DE LA CULTURA CRIOLLA","20131380951-MUNICIPALIDAD METROPOLITANA DE LIMA","20533601651-CONSTRUCTORA Y CARPINTERIA RAMIREZ E.I.R.L.","AS-SM-121-2021-MML-GA-SLC-1","025-2022","SERVICIO","S/","77998","77998","77998"," ","04/02/2022","25/02/2022","20/05/2022","Publicado"
"ADQUISICION DE PRUEBAS DE ANTIGENO PARA DESCARTE DE COVID -19 PARA LA DETECCION TEMPRANA DE PERSONAS ","20131380951-MUNICIPALIDAD METROPOLITANA DE LIMA","20602010270-GOLDENCORP S.A.","COMPRE-SM-1-2022-MML-GA-SLC-1","ORDEN DE COMPRA 096-2022-MML-GA-SLC","BIEN","S/","53550","53550","53550"," ","28/01/2022","29/01/2022","02/02/2022","Publicado"
